datetime,temperature_c,relative_humidity,dew_point_c,pressure_hpa,wind_speed_ms,wind_direction_deg,ghi_whm2,dni_whm2,dhi_whm2,total_sky_cover,precipitation_mm,albedo
2024-01-03 00:00:00,8.0,73,4.4,1012.46,4.24,312,0,0,0,0.4,0.0,0.21
2024-01-03 01:00:00,8.08,74,4.45,1012.48,4.27,326,0,0,0,0.5,0.0,0.22
2024-01-03 02:00:00,8.16,75,4.5,1012.5,4.3,340,0,0,0,0.6,0.0,0.18
2024-01-03 03:00:00,8.24,76,4.55,1012.52,4.33,354,0,0,0,0.7,0.0,0.19
2024-01-03 04:00:00,8.32,77,4.6,1012.54,4.36,8,0,0,0,0.8,0.0,0.2
2024-01-03 05:00:00,8.4,78,4.65,1012.56,4.39,22,0,0,0,0.9,0.0,0.21
2024-01-03 06:00:00,8.48,79,4.7,1012.58,4.42,36,0,0,0,1.0,0.0,0.22
2024-01-03 07:00:00,8.56,80,4.75,1012.6,4.45,50,70,0,0,0.0,0.0,0.18
2024-01-03 08:00:00,8.64,81,4.8,1012.62,4.48,64,140,75,0,0.1,0.0,0.19
2024-01-03 09:00:00,8.72,82,4.85,1012.64,4.51,78,210,150,42,0.2,0.0,0.2
2024-01-03 10:00:00,8.8,83,4.9,1012.66,4.54,92,280,225,84,0.3,0.2,0.21
2024-01-03 11:00:00,8.88,84,4.95,1012.68,4.57,106,350,300,126,0.4,0.0,0.22
2024-01-03 12:00:00,8.96,55,4.0,1012.7,4.6,120,420,375,168,0.5,0.0,0.18
2024-01-03 13:00:00,9.04,56,4.05,1012.72,4.63,134,490,450,210,0.6,0.0,0.19
2024-01-03 14:00:00,9.12,57,4.1,1012.74,4.66,148,560,525,252,0.7,0.0,0.2
2024-01-03 15:00:00,9.2,58,4.15,1012.76,4.69,162,630,600,294,0.8,0.0,0.21
2024-01-03 16:00:00,9.28,59,4.2,1012.78,4.72,176,700,675,320,0.9,0.0,0.22
2024-01-03 17:00:00,9.36,60,4.25,1012.8,4.75,190,770,750,320,1.0,0.0,0.18
2024-01-03 18:00:00,9.44,61,4.3,1012.82,4.78,204,820,825,320,0.0,0.0,0.19
2024-01-03 19:00:00,9.52,62,4.35,1012.84,4.81,218,820,900,320,0.1,0.0,0.2
2024-01-03 20:00:00,9.6,63,4.4,1012.86,4.84,232,820,900,320,0.2,0.0,0.21
2024-01-03 21:00:00,9.68,64,4.45,1012.88,4.87,246,820,900,320,0.3,0.0,0.22
2024-01-03 22:00:00,9.76,65,4.5,1012.9,4.9,260,820,900,320,0.4,0.0,0.18
2024-01-03 23:00:00,9.84,66,4.55,1012.92,4.93,274,820,900,320,0.5,0.0,0.19
